WeekStarting,Store,Brand,Quantity,Advert,Price,Revenue
1992-05-28,1000,dominicks,9130,1,2.4,21912.0
1992-06-04,1000,dominicks,11225,1,2.47,27725.750000000004
1992-06-11,1000,dominicks,14025,1,2.53,35483.25
1992-06-18,1000,dominicks,16433,1,2.44,40096.52
1992-06-25,1000,dominicks,16962,1,1.93,32736.66
1992-07-02,1000,dominicks,10222,1,2.64,26986.08
1992-07-09,1000,dominicks,18117,1,2.06,37321.02
1992-07-16,1000,dominicks,11754,1,2.53,29737.62
1992-07-23,1000,dominicks,13080,1,2.02,26421.6
1992-07-30,1000,dominicks,19628,1,2.17,42592.76
1992-08-06,1000,dominicks,9419,1,2.38,22417.22
1992-08-13,1000,dominicks,11694,1,2.11,24674.34
1992-08-20,1000,dominicks,14531,1,2.35,34147.85
1992-08-27,1000,dominicks,18439,1,2.6,47941.4
1992-09-03,1000,dominicks,11137,1,2.45,27285.65
1992-09-10,1000,dominicks,13129,1,2.29,30065.41
1992-09-17,1000,dominicks,11310,1,1.92,21715.2
1992-09-24,1000,dominicks,13235,1,2.45,32425.750000000004
1992-10-01,1000,dominicks,12244,1,1.93,23630.92
