WeekStarting,Store,Brand,Quantity,Advert,Price,Revenue
1992-05-28,1002,dominicks,11737,1,2.13,24999.81
1992-06-04,1002,dominicks,11957,1,2.07,24750.99
1992-06-11,1002,dominicks,16608,1,2.49,41353.92000000001
1992-06-18,1002,dominicks,15073,1,2.63,39641.99
1992-06-25,1002,dominicks,10881,1,2.16,23502.960000000006
1992-07-02,1002,dominicks,9384,1,2.66,24961.44
1992-07-09,1002,dominicks,9029,1,1.92,17335.68
1992-07-16,1002,dominicks,14381,1,2.28,32788.68
1992-07-23,1002,dominicks,13214,1,2.55,33695.7
1992-07-30,1002,dominicks,12285,1,2.53,31081.05
1992-08-06,1002,dominicks,17355,1,2.52,43734.6
1992-08-13,1002,dominicks,13680,1,2.34,32011.2
1992-08-20,1002,dominicks,17433,1,2.16,37655.28000000001
1992-08-27,1002,dominicks,9567,1,2.38,22769.46
1992-09-03,1002,dominicks,13669,1,2.67,36496.23
1992-09-10,1002,dominicks,9918,1,2.41,23902.38
1992-09-17,1002,dominicks,16352,1,2.21,36137.92
1992-09-24,1002,dominicks,11015,1,2.33,25664.95
1992-10-01,1002,dominicks,10280,1,2.29,23541.2
