WeekStarting,Store,Brand,Quantity,Advert,Price,Revenue
1992-05-28,1002,tropicana,14819,1,1.92,28452.48
1992-06-04,1002,tropicana,18920,1,2.62,49570.4
1992-06-11,1002,tropicana,18036,1,2.5,45090.0
1992-06-18,1002,tropicana,9415,1,2.38,22407.7
1992-06-25,1002,tropicana,18008,1,2.19,39437.52
1992-07-02,1002,tropicana,15051,1,2.64,39734.64
1992-07-09,1002,tropicana,13924,1,2.31,32164.44
1992-07-16,1002,tropicana,16641,1,2.67,44431.47
1992-07-23,1002,tropicana,15168,1,2.46,37313.28
1992-07-30,1002,tropicana,13219,1,2.41,31857.79
1992-08-06,1002,tropicana,15090,1,2.06,31085.4
1992-08-13,1002,tropicana,17859,1,2.09,37325.31
1992-08-20,1002,tropicana,18162,1,1.96,35597.52
1992-08-27,1002,tropicana,17089,1,2.19,37424.91
1992-09-03,1002,tropicana,18127,1,2.23,40423.21
1992-09-10,1002,tropicana,12038,1,1.97,23714.86
1992-09-17,1002,tropicana,16580,1,2.01,33325.8
1992-09-24,1002,tropicana,9468,1,2.1,19882.8
1992-10-01,1002,tropicana,15291,1,2.46,37615.86
