WeekStarting,Store,Brand,Quantity,Advert,Price,Revenue
1992-05-28,1001,minute.maid,16637,1,2.36,39263.32
1992-06-04,1001,minute.maid,18508,1,2.32,42938.56
1992-06-11,1001,minute.maid,9298,1,2.07,19246.86
1992-06-18,1001,minute.maid,10669,1,2.3,24538.7
1992-06-25,1001,minute.maid,17000,1,2.38,40460.0
1992-07-02,1001,minute.maid,11061,1,2.2,24334.2
1992-07-09,1001,minute.maid,19103,1,2.52,48139.56
1992-07-16,1001,minute.maid,19631,1,2.52,49470.12
1992-07-23,1001,minute.maid,11713,1,2.06,24128.78
1992-07-30,1001,minute.maid,16537,1,2.69,44484.53
1992-08-06,1001,minute.maid,18164,1,2.39,43411.96
1992-08-13,1001,minute.maid,9132,1,1.92,17533.44
1992-08-20,1001,minute.maid,13712,1,2.52,34554.24
1992-08-27,1001,minute.maid,18796,1,2.06,38719.76
1992-09-03,1001,minute.maid,18513,1,2.62,48504.06000000001
1992-09-10,1001,minute.maid,18763,1,2.36,44280.68
1992-09-17,1001,minute.maid,14568,1,2.19,31903.92
1992-09-24,1001,minute.maid,9225,1,2.68,24723.0
1992-10-01,1001,minute.maid,11069,1,2.56,28336.64
